ensembl_gene_id,logFC,logCPM,F,PValue,FDR,gene_symbol,cellranger_version,pseudobulk,gene,gene2,gene3
ENSG00000170345,4.518359144,10.43044424,29842.59516,0,0,FOS,v3,FALSE,Fos,Fos,FOS
ENSG00000081041,4.465336446,9.360511562,38908.49577,0,0,CXCL2,v3,FALSE,Cxcl2,Cxcl2,CXCL2
ENSG00000128016,4.06513402,9.585036753,20273.81914,0,0,ZFP36,v3,FALSE,Zfp36,Zfp36,ZFP36
ENSG00000125740,3.828118441,10.82350531,26673.70231,0,0,FOSB,v3,FALSE,Fosb,Fosb,FOSB
ENSG00000120129,3.679776823,9.386751729,17813.09493,0,0,DUSP1,v3,FALSE,Dusp1,Dusp1,DUSP1
ENSG00000162772,3.67112771,9.042513453,19633.60509,0,0,ATF3,v3,FALSE,Atf3,Atf3,ATF3
ENSG00000169429,3.58414241,8.947053957,20607.94481,0,0,CXCL8,v3,FALSE,Cxcl8,Cxcl8,CXCL8
ENSG00000123358,3.522526121,9.133398427,19932.7021,0,0,NR4A1,v3,FALSE,Nr4a1,Nr4a1,NR4A1
ENSG00000163734,3.482903617,8.941189582,19816.84751,0,0,CXCL3,v3,FALSE,Cxcl3,Cxcl3,CXCL3
ENSG00000087074,3.371057417,9.211243124,17596.86293,0,0,PPP1R15A,v3,FALSE,Ppp1r15a,Ppp1r15a,PPP1R15A
ENSG00000171223,3.356283337,10.47532638,17042.07174,0,0,JUNB,v3,FALSE,Junb,Junb,JUNB
ENSG00000120738,3.120757767,9.201051632,15959.35198,0,0,EGR1,v3,FALSE,Egr1,Egr1,EGR1
ENSG00000204389,3.05153358,10.30131554,13860.63023,0,0,HSPA1A,v3,FALSE,Hspa1a,Hspa1a,HSPA1A
ENSG00000204388,2.953345678,9.443331421,12288.02486,0,0,HSPA1B,v3,FALSE,Hspa1b,Hspa1b,HSPA1B
ENSG00000184557,2.928195787,9.101052527,9590.059545,0,0,SOCS3,v3,FALSE,Socs3,Socs3,SOCS3
ENSG00000067082,2.873320856,9.598890283,14280.54439,0,0,KLF6,v3,FALSE,Klf6,Klf6,KLF6
ENSG00000177606,2.85494089,10.79283754,12186.85058,0,0,JUN,v3,FALSE,Jun,Jun,JUN
ENSG00000160888,2.837216706,10.22604384,14051.95797,0,0,IER2,v3,FALSE,Ier2,Ier2,IER2
ENSG00000163739,2.748506578,8.995701637,11693.4899,0,0,CXCL1,v3,FALSE,Cxcl1,Cxcl1,CXCL1
ENSG00000100906,2.673850413,10.18252269,13743.57622,0,0,NFKBIA,v3,FALSE,Nfkbia,Nfkbia,NFKBIA
ENSG00000173110,2.566237027,9.093577433,5057.302926,0,0,HSPA6,v3,FALSE,Hspa6,Hspa6,HSPA6
ENSG00000132002,2.556973113,10.14494891,9627.266029,0,0,DNAJB1,v3,FALSE,Dnajb1,Dnajb1,DNAJB1
ENSG00000137331,2.477944898,9.029700752,9180.022388,0,0,IER3,v3,FALSE,Ier3,Ier3,IER3
ENSG00000163660,2.386514361,9.548443699,10524.71469,0,0,CCNL1,v3,FALSE,Ccnl1,Ccnl1,CCNL1
ENSG00000269028,2.301878374,9.296402739,7478.56988,0,0,MTRNR2L2,v3,FALSE,Mtrnr2l2,Mtrnr2l2,MTRNR2L2
ENSG00000162783,2.296165281,8.98348652,8055.574778,0,0,IER5,v3,FALSE,Ier5,Ier5,IER5
ENSG00000125968,2.226369587,8.917084528,7621.733211,0,0,ID1,v3,FALSE,Id1,Id1,ID1
ENSG00000221869,2.220649505,9.223292162,7281.485542,0,0,CEBPD,v3,FALSE,Cebpd,Cebpd,CEBPD
ENSG00000205420,2.16993824,9.461904974,3005.964759,0,0,KRT6A,v3,FALSE,Krt6a,Krt6a,KRT6A
